title,authors,fim_authors,date,journal,volume,pages,book_title,publisher,abstract,data_loc,code_loc,type,doi,project_id
Lateralized human brain language systems demonstrated by task subtraction functional magnetic resonance imaging,"J. Binder, S. Rao, T. Hammeke, J. Frost, Peter Bandettini, A. Jesmanowicz, J. Hyde","patrick_frost-bellgowan, peter_bandettini",1995-01-01,Archives of Neurology,52.0,593-601,,,,,,journal_article,,
Surface-based functional magnetic resonance imaging analysis of partial brain echo planar imaging data at 1.5 T,"H. Jo, L. Kim",hang_jo,2009-01-01,Magnetic Resonance Imaging,27.0,691-700,,,,,,journal_article,,
Whole-brain connectivity dynamics reflect both task-specific and individual-specific modulation: A multitask study,"Hua Xie, Vince Calhoun, Javier Gonzalez-Castillo, Eswar Damaraju, Robyn Miller, Peter Bandettini, Sunanda Mitra","javier_gonzalez-castillo, peter_bandettini",2017-01-01,NeuroImage,,,,,,,,journal_article,10.1016/j.neuroimage.2017.05.050,bold_connectivity_dynamics
Connectivity trajectory across lifespan differentiates the precuneus from the default network,"Zhi Yang, Catie Chang, Ting Xu, Lili Jiang, Daniel Handwerker, Xavier Castellanos, Michael Milham, Peter Bandettini, Xi-Nian Zuo","zhi_yang, daniel_handwerker, peter_bandettini",2014-01-01,NeuroImage,89.0,56,,,,,,journal_article,10.1016/j.neuroimage.2013.10.039,
Direct modulation of aberrant brain network connectivity through real-time neurofeedback,"Michal Ramot, Sara Kimmich, Javier Gonzalez-Castillo, Vinai Roopchansingh, Haroon Popal, Emily White, Stephen Gotts, Alex Martin","sara_kimmich, javier_gonzalez-castillo",2017-01-01,eLife,6.0,,,,,,,journal_article,10.7554/eLife.28974,
Defining functional SMA and pre-SMA subregions in human MFC using resting state fMRI: functional connectivity-based parcellation method,"K. Lee, H. Jo, K. Saad",hang_jo,2010-01-01,NeuroImage,49.0,2375-2386,,,,,,journal_article,,
Functional magnetic resonance imaging (FMRI) of the human brain,"E. DeYoe, Peter Bandettini, J. Neitz, D. Miller, P. Winans",peter_bandettini,1994-01-01,Journal of Neuroscience Methods,54.0,171-187,,,,,,journal_article,,
Brain Network Informed Subject Community Detection In Early-Onset Schizophrenia,"Zhi Yang, Yong Xu, Ting Xu, Colin Hoy, Daniel Handwerker, Gang Chen, Georg Northoff, Xi-Nian Zuo, Peter Bandettini","zhi_yang, colin_hoy, daniel_handwerker, peter_bandettini",2015-01-01,Scientific Reports,4.0,,,,,,,journal_article,10.1038/srep05549,
Protecting peer review: Correspondence chronology and ethical analysis regarding Logothetis vs. Shmuel and Leopold,"P. Fox, E. Bullmore, Peter Bandettini, J. Lancaster",peter_bandettini,2009-01-01,Human Brain Mapping,30.0,347-354,,,,,,journal_article,,
The role of awareness in delay and trace fear conditioning in humans,"D. Knight, H. Nguyen, Peter Bandettini","david_knight, hanh_nguyen, peter_bandettini",2006-01-01,"Cognitive, Affective and Behavioral Neuroscience",6.0,157-162,,,,,,journal_article,,
